data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;РФ;18+;105_165_days;SputnikLite;0.75297;0.73764;0.7674;0.89616;0.87503;0.91372;0.92111;0.879;0.94857;0.98863;0.95452;0.99716
2021.11_11-11-2022;РФ;18+;105_165_days;SputnikV;0.26309;0.25905;0.26712;0.56397;0.55785;0.57;0.68876;0.67834;0.69883;0.79598;0.78559;0.80586
2021.11_11-11-2022;РФ;18-59;105_165_days;AllVaccines;0.22668;0.22199;0.23134;0.42744;0.41658;0.43809;0.45877;0.43124;0.48496;0.63758;0.59968;0.67188
2021.11_11-11-2022;РФ;18-59;105_165_days;CoviVac;-0.31152;-0.35259;-0.27171;-0.25489;-0.36699;-0.15198;-0.15166;-0.44927;0.08484;0.56311;0.18764;0.76504
2021.11_11-11-2022;РФ;18-59;105_165_days;EpiVacCorona;-0.18299;-0.20808;-0.15841;-0.56909;-0.64883;-0.49321;-0.6998;-0.92162;-0.50359;-0.09049;-0.40609;0.15428
2021.11_11-11-2022;РФ;18-59;105_165_days;SputnikLite;0.75936;0.7432;0.77449;0.85786;0.8212;0.887;0.85809;0.74372;0.92143;NULL;NULL;NULL
2021.11_11-11-2022;РФ;18-59;105_165_days;SputnikV;0.24598;0.24115;0.25078;0.48394;0.4732;0.49446;0.52314;0.49617;0.54866;0.66816;0.63011;0.7023
2021.11_11-11-2022;РФ;60+;105_165_days;AllVaccines;0.20427;0.19635;0.2121;0.42441;0.41466;0.43401;0.56198;0.54639;0.57703;0.67282;0.65719;0.68774
2021.11_11-11-2022;РФ;60+;105_165_days;CoviVac;-0.46003;-0.56171;-0.36497;-0.24958;-0.38984;-0.12348;-0.20465;-0.46862;0.01187;0.27193;0.02151;0.45826
2021.11_11-11-2022;РФ;60+;105_165_days;EpiVacCorona;-0.3208;-0.35541;-0.28707;-0.40311;-0.45556;-0.35254;-0.38561;-0.48243;-0.29512;-0.14581;-0.24881;-0.0513
2021.11_11-11-2022;РФ;60+;105_165_days;SputnikLite;0.44384;0.3473;0.5261;0.69097;0.57702;0.77422;0.73497;0.50741;0.85741;0.92865;0.71469;0.98216
2021.11_11-11-2022;РФ;60+;105_165_days;SputnikV;0.25846;0.25047;0.26636;0.50598;0.49652;0.51526;0.65605;0.64157;0.66995;0.75037;0.73602;0.76395
2021.11_11-11-2022;РФ;18+;165_195_days;AllVaccines;0.04528;0.03731;0.05319;0.12641;0.11087;0.14167;0.38815;0.36171;0.41349;0.493;0.46302;0.52131
2021.11_11-11-2022;РФ;18+;165_195_days;CoviVac;-0.52999;-0.68187;-0.39183;-0.6028;-0.93385;-0.32842;0.10048;-0.49214;0.45773;0.2635;-0.47279;0.63169
2021.11_11-11-2022;РФ;18+;165_195_days;EpiVacCorona;-0.59152;-0.63975;-0.54471;-1.6852;-1.81361;-1.56264;-1.51947;-1.77716;-1.28569;-1.02423;-1.31576;-0.7694
2021.11_11-11-2022;РФ;18+;165_195_days;SputnikLite;0.90825;0.34868;0.98708;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;РФ;18+;165_195_days;SputnikV;0.07802;0.06999;0.08598;0.21541;0.20033;0.23019;0.47958;0.45457;0.50345;0.56572;0.53722;0.59247
2021.11_11-11-2022;РФ;18-59;165_195_days;AllVaccines;0.07065;0.05981;0.08136;0.24712;0.22005;0.27326;0.38745;0.32261;0.44608;0.57848;0.48333;0.65611
2021.11_11-11-2022;РФ;18-59;165_195_days;CoviVac;-0.56959;-0.75476;-0.40397;-1.18987;-1.83915;-0.68908;-0.27334;-2.05957;0.47006;-0.44299;-4.77087;0.63918
2021.11_11-11-2022;РФ;18-59;165_195_days;EpiVacCorona;-0.43453;-0.49978;-0.37211;-1.56603;-1.81203;-1.34155;-1.77328;-2.47914;-1.21063;-1.51423;-2.7537;-0.68403
2021.11_11-11-2022;РФ;18-59;165_195_days;SputnikLite;0.71184;-1.0455;0.95941;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;РФ;18-59;165_195_days;SputnikV;0.0975;0.08656;0.10831;0.33805;0.31202;0.36309;0.48897;0.42798;0.54345;0.67931;0.5928;0.74745
2021.11_11-11-2022;РФ;60+;165_195_days;AllVaccines;0.08991;0.07894;0.10075;0.33037;0.3166;0.34387;0.5798;0.55974;0.59895;0.65635;0.63514;0.67633
2021.11_11-11-2022;РФ;60+;165_195_days;CoviVac;-0.4823;-0.77276;-0.23944;-0.38469;-0.81722;-0.05511;0.10989;-0.6544;0.52109;0.27577;-0.61212;0.67465
2021.11_11-11-2022;РФ;60+;165_195_days;EpiVacCorona;-0.60558;-0.67159;-0.54217;-0.90525;-1.01163;-0.8045;-0.61528;-0.7992;-0.45016;-0.24695;-0.43841;-0.08098
2021.11_11-11-2022;РФ;60+;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;РФ;60+;165_195_days;SputnikV;0.1261;0.11509;0.13697;0.3941;0.38068;0.40723;0.64089;0.62186;0.65897;0.70259;0.68231;0.72157
2021.11_11-11-2022;РФ;18+;21_45_days;AllVaccines;0.4368;0.43058;0.44294;0.5846;0.57373;0.59519;0.72229;0.70399;0.73945;0.78871;0.76867;0.80701
2021.11_11-11-2022;РФ;18+;21_45_days;CoviVac;0.07487;-0.00869;0.1515;0.23008;0.06691;0.36472;0.57511;0.28256;0.74837;0.76665;0.43934;0.90288
2021.11_11-11-2022;РФ;18+;21_45_days;EpiVacCorona;0.10496;0.01093;0.19006;-0.20482;-0.43471;-0.01176;-0.176;-0.68206;0.17781;-0.02478;-0.64857;0.36298
2021.11_11-11-2022;РФ;18+;21_45_days;SputnikLite;0.384;0.37586;0.39204;0.55782;0.54373;0.57148;0.73572;0.71314;0.75653;0.81553;0.79168;0.83665
2021.11_11-11-2022;РФ;18+;21_45_days;SputnikV;0.54942;0.54005;0.5586;0.6596;0.64287;0.67555;0.72107;0.68948;0.74945;0.75801;0.72086;0.79021
2021.11_11-11-2022;РФ;18-59;21_45_days;AllVaccines;0.39765;0.38954;0.40566;0.48317;0.46222;0.5033;0.57965;0.52923;0.62467;0.65012;0.56875;0.71613
