data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_26-12-2022;Московская область;18-59;90_105_days;SputnikLite;0.61097;0.48801;0.70439;0.46171;-0.12987;0.74355;0.57834;-1.99742;0.94068;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;90_105_days;SputnikV;0.25106;0.19499;0.30323;0.29627;0.10865;0.4444;0.06288;-0.51592;0.42069;0.76079;-0.70825;0.9665
2021.12_26-12-2022;Московская область;60+;90_105_days;AllVaccines;0.40889;0.32995;0.47853;0.57112;0.4524;0.6641;0.45173;0.15671;0.64353;0.56332;0.26063;0.74209
2021.12_26-12-2022;Московская область;60+;90_105_days;CoviVac;-0.44362;-1.77497;0.24899;0.11193;-2.5517;0.77794;-0.757;-11.48079;0.75266;-1.09908;-13.9126;0.70454
2021.12_26-12-2022;Московская область;60+;90_105_days;EpiVacCorona;-0.2133;-1.08996;0.29563;-0.29182;-2.10473;0.4625;-0.02232;-6.262;0.85608;-0.22136;-7.67696;0.82808
2021.12_26-12-2022;Московская область;60+;90_105_days;SputnikLite;0.55894;0.42924;0.65917;0.85264;0.69077;0.92978;0.83341;0.33332;0.95837;0.90049;0.29301;0.98599
2021.12_26-12-2022;Московская область;60+;90_105_days;SputnikV;0.3803;0.2786;0.46766;0.47922;0.31399;0.60466;0.31312;-0.10774;0.57408;0.46901;0.03883;0.70666
2021.12_26-12-2022;РФ;18+;105_165_days;AllVaccines;0.18073;0.17594;0.18549;0.57706;0.57084;0.58319;0.71352;0.70372;0.72299;0.83148;0.82216;0.84032
2021.12_26-12-2022;РФ;18+;105_165_days;CoviVac;-0.39759;-0.44721;-0.34967;0.11164;0.03572;0.18157;0.51166;0.39588;0.60525;0.79547;0.69218;0.8641
2021.12_26-12-2022;РФ;18+;105_165_days;EpiVacCorona;-0.31757;-0.35176;-0.28424;-0.28197;-0.34595;-0.22103;-0.12873;-0.24727;-0.02146;0.31108;0.19251;0.41223
2021.12_26-12-2022;РФ;18+;105_165_days;SputnikLite;0.25834;0.24485;0.27158;0.62909;0.61101;0.64632;0.79527;0.76847;0.81897;0.90307;0.87896;0.92238
2021.12_26-12-2022;РФ;18+;105_165_days;SputnikV;0.19682;0.19178;0.20184;0.60565;0.59923;0.61197;0.73397;0.72384;0.74373;0.8403;0.83052;0.84951
2021.12_26-12-2022;РФ;18-59;105_165_days;AllVaccines;0.13978;0.13402;0.1455;0.44822;0.43669;0.45951;0.49976;0.47216;0.52592;0.68017;0.6427;0.71371
2021.12_26-12-2022;РФ;18-59;105_165_days;CoviVac;-0.48785;-0.54495;-0.43286;-0.49735;-0.64926;-0.35943;-0.09812;-0.45389;0.17059;0.42498;-0.10603;0.70104
2021.12_26-12-2022;РФ;18-59;105_165_days;EpiVacCorona;-0.33528;-0.37648;-0.29532;-0.61338;-0.7325;-0.50246;-0.54001;-0.84637;-0.28447;0.25585;-0.15481;0.52048
2021.12_26-12-2022;РФ;18-59;105_165_days;SputnikLite;0.21993;0.20442;0.23515;0.4661;0.43249;0.49773;0.624;0.54954;0.68615;0.82885;0.73136;0.89096
2021.12_26-12-2022;РФ;18-59;105_165_days;SputnikV;0.15473;0.14866;0.16076;0.49337;0.48159;0.50487;0.52544;0.49666;0.55257;0.67896;0.63847;0.71491
2021.12_26-12-2022;РФ;60+;105_165_days;AllVaccines;0.16111;0.15062;0.17147;0.42801;0.41593;0.43984;0.60498;0.5873;0.62191;0.72892;0.71161;0.74519
