data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_01-07-2022;РФ;18-59;21_45_days;SputnikLite;-0.97456;-0.99378;-0.95553;-0.55455;-0.60162;-0.50887;-0.30614;-0.4199;-0.20149;-0.19207;-0.38115;-0.02888
2021.11_01-07-2022;РФ;18-59;21_45_days;SputnikV;-21.18654;-21.29048;-21.08309;-13.76248;-13.97965;-13.54846;-12.44398;-12.97744;-11.93088;-8.31085;-9.0389;-7.6356
2021.11_01-07-2022;РФ;60+;21_45_days;AllVaccines;-5.31882;-5.36088;-5.27704;-3.25736;-3.30491;-3.21033;-1.89589;-1.96494;-1.82844;-1.19028;-1.25871;-1.12393
2021.11_01-07-2022;РФ;60+;21_45_days;CoviVac;-10.57865;-11.18348;-10.00385;-8.98447;-9.82759;-8.207;-7.90496;-9.43038;-6.60263;-4.51058;-5.96635;-3.35902
2021.11_01-07-2022;РФ;60+;21_45_days;EpiVacCorona;-54.68711;-55.81516;-53.58146;-61.07009;-62.84256;-59.34682;-57.80563;-61.02115;-54.75682;-47.90726;-51.34412;-44.69606
2021.11_01-07-2022;РФ;60+;21_45_days;SputnikLite;-0.06319;-0.08044;-0.04622;0.31308;0.29266;0.33292;0.58467;0.55505;0.61232;0.70181;0.67222;0.72872
2021.11_01-07-2022;РФ;60+;21_45_days;SputnikV;-13.61839;-13.72638;-13.51119;-8.52287;-8.64468;-8.4026;-5.29564;-5.47238;-5.12373;-3.79615;-3.97362;-3.62502
2021.11_01-07-2022;РФ;18+;45_75_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;45_75_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;45_75_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;45_75_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;45_75_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;45_75_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;60+;45_75_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;60+;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;60+;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;60+;45_75_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;60+;45_75_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;75_90_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;75_90_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;75_90_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;75_90_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;75_90_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18-59;75_90_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
