data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;EpiVacCorona;-1.4367;-6.55616;0.21422;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.85577;-4.75435;0.40151;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;SputnikLite;0.24387;-0.40565;0.59326;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.78107;-2.96615;0.20018;-1.54112;-9.1713;0.36515;NULL;NULL;NULL;NULL;NULL;NULL;0.10102;-0.49149;0.45815;0.03437;-2.86337;0.75865;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;SputnikV;0.0043;-0.36905;0.27584;0.30769;-1.77221;0.82711;NULL;NULL;NULL;NULL;NULL;NULL;-0.08874;-0.5682;0.24413;0.19801;-0.93004;0.66675;NULL;NULL;NULL;NULL;NULL;NULL;-0.02413;-0.30413;0.19576;0.25074;-0.66954;0.66375;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;AllVaccines;0.15483;-0.2418;0.42478;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0593;-0.64322;0.31713;-0.13327;-1.7273;0.5291;NULL;NULL;NULL;NULL;NULL;NULL;0.09004;-0.21918;0.32084;0.18575;-0.95817;0.66142;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;CoviVac;-0.31409;-4.25465;0.67137;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.16329;-3.65172;0.70908;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;SputnikLite;-0.10531;-1.12481;0.42502;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.01666;-2.04983;0.68295;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.01912;-0.77149;0.45689;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;SputnikV;0.17393;-0.32923;0.48663;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.18292;-0.87894;0.25526;-0.40665;-2.38521;0.4155;NULL;NULL;NULL;NULL;NULL;NULL;0.04426;-0.338;0.31731;-0.13259;-1.72374;0.52904;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;AllVaccines;-0.00261;-0.38444;0.27392;-1.51932;-4.29904;-0.19776;-4.35036;-20.6269;-0.32365;NULL;NULL;NULL;-0.0658;-0.6052;0.29235;0.00904;-1.38482;0.58823;-0.44302;-4.79228;0.64051;-2.7773;-14.25744;0.06485;-0.01212;-0.30687;0.21614;-0.52258;-1.75331;0.15802;-0.92267;-4.98227;0.38207
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;CoviVac;-0.11829;-3.4717;0.72034;-13.81581;-58.32662;-2.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.03047;-3.1206;0.7423;-7.30746;-32.23732;-1.0764;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;EpiVacCorona;-1.89185;-7.96757;0.06744;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.04241;-5.33305;0.34132;NULL;NULL;NULL;NULL;NULL;NULL
